"site_id","site_name","potentiel_nb_especes","potentiel_score","potentiel_classe","nb_cuphophyllus","nb_hygrocybe_conica_groupe","nb_hygrocybes_jaunes","nb_entoloma","nb_clavarioides","chegd_clavaria","chegd_hygrocybe_cuphophyllus","chegd_entoloma","chegd_geoglossaceae","chegd_dermoloma_porpoloma_camarophyllopsis","indice_patrimonial","classe_patrimoniale","nb_visites_planifiees","chegd_total","chegd_moyen"
1,"Pelouse 1",1,2,"Potentiel fongique faible",1,0,0,0,0,0,3,0,0,0,3,"Intérêt local",1,3,3
2,"Pelouse 2",2,3,"Potentiel fongique faible",1,0,0,0,0,0,1,0,0,0,1,"Intérêt faible",1,1,1
3,"Pelouse 3",7,9,"Potentiel fongique faible",1,1,1,0,0,0,4,0,0,0,4,"Intérêt local",3,4,1.33333333333333
4,"Pelouse 4",4,7,"Potentiel fongique faible",1,1,1,0,0,0,3,0,0,0,3,"Intérêt local",3,6,2
5,"Pelouse 5",4,6,"Potentiel fongique faible",1,1,0,0,0,0,4,0,0,0,4,"Intérêt local",2,6,3
6,"Pelouse 6",0,0,"Potentiel fongique faible",0,0,0,0,0,0,0,0,0,0,0,"Intérêt faible",0,0,0
7,"Pelouse 7",1,2,"Potentiel fongique faible",1,0,0,0,0,0,1,0,0,0,1,"Intérêt faible",1,1,1
8,"Pelouse 8",1,2,"Potentiel fongique faible",0,0,0,1,0,0,0,1,0,0,1,"Intérêt faible",1,1,1
9,"Pelouse 9",0,0,"Potentiel fongique faible",0,0,0,0,0,0,0,0,0,0,0,"Intérêt faible",0,0,0
10,"Pelouse 10",0,0,"Potentiel fongique faible",0,0,0,0,0,0,0,0,0,0,0,"Intérêt faible",0,0,0
11,"Pelouse 11",0,0,"Potentiel fongique faible",0,0,0,0,0,0,0,0,0,0,0,"Intérêt faible",0,0,0
12,"Pelouse 12",0,0,"Potentiel fongique faible",0,0,0,0,0,0,0,0,0,0,0,"Intérêt faible",0,0,0
13,"Pelouse 13",0,0,"Potentiel fongique faible",0,0,0,0,0,0,0,0,0,0,0,"Intérêt faible",0,0,0
14,"Pelouse 14",0,0,"Potentiel fongique faible",0,0,0,0,0,0,0,0,0,0,0,"Intérêt faible",0,0,0
15,"Pelouse 15",0,0,"Potentiel fongique faible",0,0,0,0,0,0,0,0,0,0,0,"Intérêt faible",0,0,0
16,"Pelouse 16",4,7,"Potentiel fongique faible",1,1,1,0,0,0,4,0,0,0,4,"Intérêt local",3,6,2
17,"Pelouse 17",0,0,"Potentiel fongique faible",0,0,0,0,0,0,0,0,0,0,0,"Intérêt faible",0,0,0
18,"Pelouse 18",0,0,"Potentiel fongique faible",0,0,0,0,0,0,0,0,0,0,0,"Intérêt faible",0,0,0
19,"Pelouse 19",2,2,"Potentiel fongique faible",0,0,0,0,0,0,0,0,0,0,0,"Intérêt faible",0,0,0
20,"Pelouse 20",3,6,"Potentiel fongique faible",1,1,1,0,0,0,4,0,0,0,4,"Intérêt local",2,6,3
